Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic,Lean fish,Veal,Shellfish,Spicy food,Beef,Aperitif,Mild and soft cheese,Poultry,"Rich fish (salmon, tuna etc)",Cured Meat,Pasta,Pork,Lamb,Mushrooms,Appetizers and snacks,"Game (deer, venison)",Vegetarian,Mature and hard cheese,Goat cheese,Fruity desserts
The Stump Jump White Blend 2017,3.9,1037,11.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Riesling,12.5,"Riesling, Marsanne","['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",44.259,46.29526972,9.05,53.555,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False
Bin 51 Riesling 2017,3.8,298,42.99,Australia / South Australia / Barossa / Eden Valley,Penfolds,Australian Riesling,12.5,100 Riesling,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",42.4737,46.29526972,9.05,53.555,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False
Valley Floor Shiraz 2017,4.1,1288,30.0,Australia / South Australia / Barossa,Langmeil,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,45.86,20.32,43.07,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Sparkling Shiraz 2016,3.9,153,16.31,Australia / South Australia / Barossa / Barossa Valley,Schild Estate,Australian Sparkling Shiraz,13.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Goat cheese']",61.73,46.29526972,9.05,53.555,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False
The Lodge Hill Shiraz 2015,3.8,696,19.99,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Jim Barry,Australian Shiraz,14.0,100 Merlot,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,47.6,18.03,45.43,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Filius Cabernet Sauvignon 2019,3.9,545,21.84,Australia / Western Australia / South West Australia / Margaret River,Vasse Felix,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",65.28,55.53,3.75,54.46,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
d'Arry's Original Shiraz - Grenache 2018,3.8,306,17.09,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Rhône Blend Red,14.5,"Shiraz/Syrah, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,49.39,8.55,45.15,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
The Menzies Cabernet Sauvignon 2013,4.0,269,39.89,Australia / South Australia / Limestone Coast / Coonawarra,Yalumba,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",66.81,55.92,11.51,51.89,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Stonehorse Grenache - Shiraz (Mourvèdre) 2017,3.8,353,29.17,Australia / South Australia / Barossa / Barossa Valley,Kaesler,Australian Rhône Blend Red,14.0,100 Grenache,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,44.95,11.81,44.18,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
Little Yering Shiraz 2016,3.8,84,20.0,Australia / Victoria / Port Phillip / Yarra Valley,Yering Station,Australian Shiraz,14.3,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,50.31,22.19,42.83,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Shiraz 2019,3.8,37,22.9,Australia / Victoria / Western Victoria / Grampians,Ben Haines,Australian Shiraz,13.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.6,52.63,4.19,55.29,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Bobbie Burns Shiraz 2013,3.8,316,33.37,Australia / Victoria / North East Victoria / Rutherglen,Campbells,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.93,40.7,18.98,41.04,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
The Footbolt Shiraz 2019,3.8,474,17.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Shiraz,14.5,100 Chardonnay,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.15,50.04,17.74,45.29,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Siblings Shiraz 2018,3.8,162,25.2,Australia / Western Australia / South West Australia / Margaret River,Leeuwin Estate,Australian Shiraz,13.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",82.93,45.91,15.63,45.57,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Angela Shiraz 2018,3.9,90,25.5,Australia / South Australia / Fleurieu / McLaren Vale,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.88,48.36,23.71,45.04,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Now by Paxton Shiraz 2021,3.8,26,19.99,Australia / South Australia / Fleurieu / McLaren Vale,Paxton,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.46,44.26,16.78,43.59,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
The Stump Jump White Blend 2019,3.9,100,11.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Riesling,11.5,"54 Riesling, 30 Marsanne, 16 Roussanne","['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",44.259,46.29526972,9.05,53.555,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False
Pride of the Fleurieu Cabernet Sauvignon 2015,3.9,81,19.99,Australia / South Australia / Fleurieu,Dandelion Vineyards,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",68.15,52.87,8.0,53.22,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Prelude Vineyards Chardonnay 2020,3.9,153,34.99,Australia / Western Australia / South West Australia / Margaret River,Leeuwin Estate,Australian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",54.0391,46.29526972,9.05,53.555,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False
Moppa Shiraz 2017,4.0,376,32.99,Australia / South Australia,Kalleske,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,43.27,21.77,41.77,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Bin 51 Riesling 2019,3.9,151,42.99,Australia / South Australia / Barossa / Eden Valley,Penfolds,Australian Riesling,12.5,100 Riesling,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",42.4737,46.29526972,9.05,53.555,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False
Cuvée Juveniles 2019,3.9,198,18.99,Australia / South Australia / Barossa,Torbreck,Australian Rhône Blend Red,15.0,"Shiraz/Syrah, Grenache, Mourvedre","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,47.1,12.78,45.01,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
The Steading 2017,4.1,526,37.98,Australia / South Australia / Barossa / Barossa Valley,Torbreck,Australian Rhône Blend Red,15.0,"Shiraz/Syrah, Mataro, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,45.38,10.77,43.06,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
Shiraz 2018,3.8,203,18.99,Australia / South Australia / Fleurieu / McLaren Vale,Thomas Goss,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,49.22,20.21,44.79,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Shays Flat Vineyard Shiraz 2014,3.8,225,22.48,Australia / Victoria / Western Victoria / Pyrenees,Domaine Tournon,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.72,49.1,19.42,43.61,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
